state,poverty_rate,poverty_rate_moe,insurance_rate,insurance_rate_moe,fips,acs_data_source,acs_source_period
Alabama,22.3,0.6,3.4,0.2,01,ACS 5-year 2017-2021 (S1701 age band: under 18; S2701 age band: under 19),2017-2021
Alaska,13.1,0.8,8.8,0.6,02,ACS 5-year 2017-2021 (S1701 age band: under 18; S2701 age band: under 19),2017-2021
Arizona,18.8,0.5,8.7,0.3,04,ACS 5-year 2017-2021 (S1701 age band: under 18; S2701 age band: under 19),2017-2021
Arkansas,21.9,0.6,5.1,0.3,05,ACS 5-year 2017-2021 (S1701 age band: under 18; S2701 age band: under 19),2017-2021
California,16.2,0.2,3.3,0.1,06,ACS 5-year 2017-2021 (S1701 age band: under 18; S2701 age band: under 19),2017-2021
Colorado,11.4,0.4,5.0,0.2,08,ACS 5-year 2017-2021 (S1701 age band: under 18; S2701 age band: under 19),2017-2021
Connecticut,13.3,0.6,2.8,0.2,09,ACS 5-year 2017-2021 (S1701 age band: under 18; S2701 age band: under 19),2017-2021
Delaware,17.3,1.2,3.9,0.5,10,ACS 5-year 2017-2021 (S1701 age band: under 18; S2701 age band: under 19),2017-2021
District of Columbia,22.8,1.8,2.2,0.4,11,ACS 5-year 2017-2021 (S1701 age band: under 18; S2701 age band: under 19),2017-2021
Florida,18.2,0.4,7.5,0.2,12,ACS 5-year 2017-2021 (S1701 age band: under 18; S2701 age band: under 19),2017-2021
Georgia,19.6,0.4,7.5,0.2,13,ACS 5-year 2017-2021 (S1701 age band: under 18; S2701 age band: under 19),2017-2021
Hawaii,12.0,0.8,2.7,0.3,15,ACS 5-year 2017-2021 (S1701 age band: under 18; S2701 age band: under 19),2017-2021
Idaho,13.6,0.7,5.8,0.3,16,ACS 5-year 2017-2021 (S1701 age band: under 18; S2701 age band: under 19),2017-2021
Illinois,15.8,0.3,3.3,0.1,17,ACS 5-year 2017-2021 (S1701 age band: under 18; S2701 age band: under 19),2017-2021
Indiana,16.8,0.4,6.3,0.2,18,ACS 5-year 2017-2021 (S1701 age band: under 18; S2701 age band: under 19),2017-2021
Iowa,13.0,0.5,2.9,0.2,19,ACS 5-year 2017-2021 (S1701 age band: under 18; S2701 age band: under 19),2017-2021
