state,race_ethnicity,dropout_rate,dropout_se,dropout_quality_flag,original_category,race_definition,dropout_race_comparable_to_nces,fips,dropout_data_source,dropout_source_period,births_teen,female_population_15_44,teen_fertility_rate,natality_quality_flag,natality_race_comparable_to_nces,natality_data_source,natality_source_period,poverty_rate,poverty_rate_moe,insurance_rate,insurance_rate_moe,acs_data_source,acs_source_period,census_region,year_period
Alabama,Total,6.077151516280898,0.2538308520796072,reliable,Total,"all races/ethnicities combined (per NCES footnote, includes small groups not shown separately)",True,01,NCES Digest Table 219.85b,2017-2021,,,,,,,,22.3,0.6,3.4,0.2,ACS 5-year 2017-2021 (S1701 age band: under 18; S2701 age band: under 19),2017-2021,South,2017-2021
Alabama,American Indian/Alaska Native,,,suppressed_reporting_standards_not_met,American Indian/Alaska Native,"American Indian/Alaska Native, non-Hispanic",True,01,NCES Digest Table 219.85b,2017-2021,,,,suppressed_or_incomplete_5yr_window,False,CDC WONDER Natality 2016-2024 Expanded (age 15-19),2017-2021,22.3,0.6,3.4,0.2,ACS 5-year 2017-2021 (S1701 age band: under 18; S2701 age band: under 19),2017-2021,South,2017-2021
Alabama,Asian,1.7411706594220797,0.6944660840607616,unreliable_cv_30_50pct,Asian,"Asian, non-Hispanic",True,01,NCES Digest Table 219.85b,2017-2021,,,,suppressed_or_incomplete_5yr_window,False,CDC WONDER Natality 2016-2024 Expanded (age 15-19),2017-2021,22.3,0.6,3.4,0.2,ACS 5-year 2017-2021 (S1701 age band: under 18; S2701 age band: under 19),2017-2021,South,2017-2021
Alabama,Black,6.0648377387463075,0.47666678136966184,reliable,Black,"Black, non-Hispanic",True,01,NCES Digest Table 219.85b,2017-2021,7530.0,238249.0,31.605589110552405,reliable,False,CDC WONDER Natality 2016-2024 Expanded (age 15-19),2017-2021,22.3,0.6,3.4,0.2,ACS 5-year 2017-2021 (S1701 age band: under 18; S2701 age band: under 19),2017-2021,South,2017-2021
Alabama,Hispanic,14.11280561607359,1.411109265464708,reliable,Hispanic,"Hispanic, any race",True,01,NCES Digest Table 219.85b,2017-2021,,,,,,,,22.3,0.6,3.4,0.2,ACS 5-year 2017-2021 (S1701 age band: under 18; S2701 age band: under 19),2017-2021,South,2017-2021
Alabama,Pacific Islander,,,suppressed_reporting_standards_not_met,Pacific Islander,"Native Hawaiian/Pacific Islander, non-Hispanic",True,01,NCES Digest Table 219.85b,2017-2021,,,,suppressed_or_incomplete_5yr_window,False,CDC WONDER Natality 2016-2024 Expanded (age 15-19),2017-2021,22.3,0.6,3.4,0.2,ACS 5-year 2017-2021 (S1701 age band: under 18; S2701 age band: under 19),2017-2021,South,2017-2021
Alabama,White,5.438943703682302,0.2726432600715743,reliable,White,"White, non-Hispanic",True,01,NCES Digest Table 219.85b,2017-2021,11281.0,500028.0,22.56073659875047,reliable,False,CDC WONDER Natality 2016-2024 Expanded (age 15-19),2017-2021,22.3,0.6,3.4,0.2,ACS 5-year 2017-2021 (S1701 age band: under 18; S2701 age band: under 19),2017-2021,South,2017-2021
Alabama,Two or more races,5.741176470588235,1.229967598417984,reliable,Two or more races,"Two or more races, non-Hispanic",True,01,NCES Digest Table 219.85b,2017-2021,564.0,21122.0,26.70201685446454,reliable,False,CDC WONDER Natality 2016-2024 Expanded (age 15-19),2017-2021,22.3,0.6,3.4,0.2,ACS 5-year 2017-2021 (S1701 age band: under 18; S2701 age band: under 19),2017-2021,South,2017-2021
Alaska,Total,5.635656319623212,0.631457789864333,reliable,Total,"all races/ethnicities combined (per NCES footnote, includes small groups not shown separately)",True,02,NCES Digest Table 219.85b,2017-2021,,,,,,,,13.1,0.8,8.8,0.6,ACS 5-year 2017-2021 (S1701 age band: under 18; S2701 age band: under 19),2017-2021,West,2017-2021
Alaska,American Indian/Alaska Native,11.51000870322019,1.7889536113180893,reliable,American Indian/Alaska Native,"American Indian/Alaska Native, non-Hispanic",True,02,NCES Digest Table 219.85b,2017-2021,821.0,21967.0,37.374243182956256,reliable,False,CDC WONDER Natality 2016-2024 Expanded (age 15-19),2017-2021,13.1,0.8,8.8,0.6,ACS 5-year 2017-2021 (S1701 age band: under 18; S2701 age band: under 19),2017-2021,West,2017-2021
