state,race_ethnicity,births_teen,female_population_15_44,teen_fertility_rate,natality_quality_flag,original_category,race_definition,natality_race_comparable_to_nces,fips,natality_data_source,natality_source_period
Alabama,American Indian/Alaska Native,,,,suppressed_or_incomplete_5yr_window,American Indian or Alaska Native,"AI/AN, any ethnicity (Hispanic origin not separated)",False,01,CDC WONDER Natality 2016-2024 Expanded (age 15-19),2017-2021
Alabama,Asian,,,,suppressed_or_incomplete_5yr_window,Asian,"Asian, any ethnicity (Hispanic origin not separated)",False,01,CDC WONDER Natality 2016-2024 Expanded (age 15-19),2017-2021
Alabama,Black,7530.0,238249.0,31.605589110552405,reliable,Black or African American,"Black, any ethnicity (Hispanic origin not separated)",False,01,CDC WONDER Natality 2016-2024 Expanded (age 15-19),2017-2021
Alabama,Two or more races,564.0,21122.0,26.70201685446454,reliable,More than one race,"Two or more races, any ethnicity (Hispanic origin not separated)",False,01,CDC WONDER Natality 2016-2024 Expanded (age 15-19),2017-2021
Alabama,Pacific Islander,,,,suppressed_or_incomplete_5yr_window,Native Hawaiian or Other Pacific Islander,"NHOPI, any ethnicity (Hispanic origin not separated)",False,01,CDC WONDER Natality 2016-2024 Expanded (age 15-19),2017-2021
Alabama,White,11281.0,500028.0,22.56073659875047,reliable,White,"White, any ethnicity (Hispanic origin not separated)",False,01,CDC WONDER Natality 2016-2024 Expanded (age 15-19),2017-2021
Alaska,American Indian/Alaska Native,821.0,21967.0,37.374243182956256,reliable,American Indian or Alaska Native,"AI/AN, any ethnicity (Hispanic origin not separated)",False,02,CDC WONDER Natality 2016-2024 Expanded (age 15-19),2017-2021
Alaska,Asian,103.0,7970.0,12.923462986198244,reliable,Asian,"Asian, any ethnicity (Hispanic origin not separated)",False,02,CDC WONDER Natality 2016-2024 Expanded (age 15-19),2017-2021
Alaska,Black,,,,suppressed_or_incomplete_5yr_window,Black or African American,"Black, any ethnicity (Hispanic origin not separated)",False,02,CDC WONDER Natality 2016-2024 Expanded (age 15-19),2017-2021
Alaska,Two or more races,313.0,14095.0,22.206456190138347,reliable,More than one race,"Two or more races, any ethnicity (Hispanic origin not separated)",False,02,CDC WONDER Natality 2016-2024 Expanded (age 15-19),2017-2021
