"Notes","State of Residence","State of Residence Code","Mother's Single Race 6","Mother's Single Race 6 Code","Year","Year Code",Births,Female Population,Fertility Rate
,"Alabama","01","American Indian or Alaska Native","1002-5","2016","2016",14,1211,11.56
,"Alabama","01","American Indian or Alaska Native","1002-5","2017","2017",Suppressed,1213,Suppressed
,"Alabama","01","American Indian or Alaska Native","1002-5","2018","2018",15,1173,12.79
,"Alabama","01","American Indian or Alaska Native","1002-5","2019","2019",22,1170,18.80
,"Alabama","01","American Indian or Alaska Native","1002-5","2020","2020",17,1162,14.63
,"Alabama","01","American Indian or Alaska Native","1002-5","2021","2021",12,1188,10.10
,"Alabama","01","American Indian or Alaska Native","1002-5","2022","2022",12,1180,10.17
,"Alabama","01","American Indian or Alaska Native","1002-5","2023","2023",19,1268,14.98
,"Alabama","01","American Indian or Alaska Native","1002-5","2024","2024",29,1315,22.05
,"Alabama","01","Asian","A","2016","2016",14,2302,6.08
,"Alabama","01","Asian","A","2017","2017",Suppressed,2527,Suppressed
,"Alabama","01","Asian","A","2018","2018",10,2646,3.78
,"Alabama","01","Asian","A","2019","2019",13,2559,5.08
,"Alabama","01","Asian","A","2020","2020",11,2582,4.26
,"Alabama","01","Asian","A","2021","2021",Suppressed,2685,Suppressed
,"Alabama","01","Asian","A","2022","2022",Suppressed,2794,Suppressed
,"Alabama","01","Asian","A","2023","2023",Suppressed,2682,Suppressed
,"Alabama","01","Asian","A","2024","2024",11,2617,4.20
,"Alabama","01","Black or African American","2054-5","2016","2016",1762,49586,35.53
,"Alabama","01","Black or African American","2054-5","2017","2017",1610,49018,32.85
,"Alabama","01","Black or African American","2054-5","2018","2018",1527,48041,31.79
,"Alabama","01","Black or African American","2054-5","2019","2019",1557,47351,32.88
,"Alabama","01","Black or African American","2054-5","2020","2020",1458,46076,31.64
,"Alabama","01","Black or African American","2054-5","2021","2021",1378,47763,28.85
,"Alabama","01","Black or African American","2054-5","2022","2022",1169,49360,23.68
,"Alabama","01","Black or African American","2054-5","2023","2023",1167,50963,22.90
,"Alabama","01","Black or African American","2054-5","2024","2024",1023,51624,19.82
,"Alabama","01","Native Hawaiian or Other Pacific Islander","NHOPI","2016","2016",17,207,82.13
,"Alabama","01","Native Hawaiian or Other Pacific Islander","NHOPI","2017","2017",11,243,45.27
,"Alabama","01","Native Hawaiian or Other Pacific Islander","NHOPI","2018","2018",17,249,68.27
,"Alabama","01","Native Hawaiian or Other Pacific Islander","NHOPI","2019","2019",Suppressed,244,Suppressed
,"Alabama","01","Native Hawaiian or Other Pacific Islander","NHOPI","2020","2020",Suppressed,218,Suppressed
,"Alabama","01","Native Hawaiian or Other Pacific Islander","NHOPI","2021","2021",Suppressed,206,Suppressed
,"Alabama","01","Native Hawaiian or Other Pacific Islander","NHOPI","2022","2022",Suppressed,239,Suppressed
,"Alabama","01","Native Hawaiian or Other Pacific Islander","NHOPI","2023","2023",Suppressed,286,Suppressed
,"Alabama","01","Native Hawaiian or Other Pacific Islander","NHOPI","2024","2024",10,311,32.15
,"Alabama","01","White","2106-3","2016","2016",2543,100856,25.21
,"Alabama","01","White","2106-3","2017","2017",2501,100131,24.98
,"Alabama","01","White","2106-3","2018","2018",2246,99515,22.57
,"Alabama","01","White","2106-3","2019","2019",2239,99059,22.60
,"Alabama","01","White","2106-3","2020","2020",2171,98492,22.04
,"Alabama","01","White","2106-3","2021","2021",2124,102831,20.66
,"Alabama","01","White","2106-3","2022","2022",2128,106034,20.07
,"Alabama","01","White","2106-3","2023","2023",2092,109420,19.12
,"Alabama","01","White","2106-3","2024","2024",2107,110741,19.03
,"Alabama","01","More than one race","M","2016","2016",130,3846,33.80
,"Alabama","01","More than one race","M","2017","2017",104,3940,26.40
,"Alabama","01","More than one race","M","2018","2018",109,4073,26.76
,"Alabama","01","More than one race","M","2019","2019",117,4146,28.22
,"Alabama","01","More than one race","M","2020","2020",123,4323,28.45
,"Alabama","01","More than one race","M","2021","2021",111,4640,23.92
,"Alabama","01","More than one race","M","2022","2022",124,4972,24.94
,"Alabama","01","More than one race","M","2023","2023",122,5405,22.57
,"Alabama","01","More than one race","M","2024","2024",107,5655,18.92
,"Alabama","01","Unknown or Not Stated","UNK","2016","2016",0,Not Available,Not Available
,"Alabama","01","Unknown or Not Stated","UNK","2017","2017",0,Not Available,Not Available
,"Alabama","01","Unknown or Not Stated","UNK","2018","2018",0,Not Available,Not Available
,"Alabama","01","Unknown or Not Stated","UNK","2019","2019",0,Not Available,Not Available
,"Alabama","01","Unknown or Not Stated","UNK","2020","2020",0,Not Available,Not Available
,"Alabama","01","Unknown or Not Stated","UNK","2021","2021",0,Not Available,Not Available
,"Alabama","01","Unknown or Not Stated","UNK","2022","2022",0,Not Available,Not Available
,"Alabama","01","Unknown or Not Stated","UNK","2023","2023",0,Not Available,Not Available
,"Alabama","01","Unknown or Not Stated","UNK","2024","2024",0,Not Available,Not Available
,"Alabama","01","Not Available","NA","2016","2016",0,Not Available,Not Available
,"Alabama","01","Not Available","NA","2017","2017",0,Not Available,Not Available
,"Alabama","01","Not Available","NA","2018","2018",0,Not Available,Not Available
,"Alabama","01","Not Available","NA","2019","2019",0,Not Available,Not Available
,"Alabama","01","Not Available","NA","2020","2020",0,Not Available,Not Available
,"Alabama","01","Not Available","NA","2021","2021",0,Not Available,Not Available
,"Alabama","01","Not Available","NA","2022","2022",0,Not Available,Not Available
,"Alabama","01","Not Available","NA","2023","2023",0,Not Available,Not Available
,"Alabama","01","Not Available","NA","2024","2024",0,Not Available,Not Available
,"Alabama","01","Not Reported","NR","2016","2016",0,Not Available,Not Available
,"Alabama","01","Not Reported","NR","2017","2017",0,Not Available,Not Available
,"Alabama","01","Not Reported","NR","2018","2018",0,Not Available,Not Available
,"Alabama","01","Not Reported","NR","2019","2019",0,Not Available,Not Available
,"Alabama","01","Not Reported","NR","2020","2020",0,Not Available,Not Available
,"Alabama","01","Not Reported","NR","2021","2021",0,Not Available,Not Available
,"Alabama","01","Not Reported","NR","2022","2022",0,Not Available,Not Available
,"Alabama","01","Not Reported","NR","2023","2023",0,Not Available,Not Available
,"Alabama","01","Not Reported","NR","2024","2024",0,Not Available,Not Available
,"Alaska","02","American Indian or Alaska Native","1002-5","2016","2016",213,4428,48.10
,"Alaska","02","American Indian or Alaska Native","1002-5","2017","2017",191,4446,42.96
,"Alaska","02","American Indian or Alaska Native","1002-5","2018","2018",160,4392,36.43
,"Alaska","02","American Indian or Alaska Native","1002-5","2019","2019",155,4361,35.54
,"Alaska","02","American Indian or Alaska Native","1002-5","2020","2020",143,4341,32.94
,"Alaska","02","American Indian or Alaska Native","1002-5","2021","2021",172,4427,38.85
,"Alaska","02","American Indian or Alaska Native","1002-5","2022","2022",152,4363,34.84
