race_ethnicity,variable,count,mean,std,min,25%,50%,75%,max
American Indian/Alaska Native,dropout_rate,30.0,9.983756250118683,4.595083148493044,3.5044516006819473,6.5457501354100005,9.220364686895964,12.082645366921353,20.80704328686721
American Indian/Alaska Native,teen_fertility_rate,33.0,25.696089088573185,14.064423507746158,5.799642851397223,16.45726420102637,22.58237959904755,30.172858617131062,62.46957650494889
American Indian/Alaska Native,poverty_rate,51.0,16.388235294117646,4.349374532450547,9.3,13.0,15.8,19.450000000000003,27.1
American Indian/Alaska Native,insurance_rate,51.0,4.96078431372549,2.1662943873234357,1.5,3.25,4.9,6.15,11.5
Asian,dropout_rate,36.0,2.3772891995403236,0.824899769742572,0.91040159988838,1.7523687361566733,2.3036958278806297,2.892507355930055,4.266528361631272
Asian,teen_fertility_rate,31.0,4.931693457114066,2.739719903133279,1.5856998702609195,3.368328340977232,3.838009528851244,6.1780736995792935,12.923462986198244
Asian,poverty_rate,51.0,16.388235294117646,4.349374532450547,9.3,13.0,15.8,19.450000000000003,27.1
Asian,insurance_rate,51.0,4.96078431372549,2.1662943873234357,1.5,3.25,4.9,6.15,11.5
Black,dropout_rate,42.0,6.543539618069336,1.850831676850685,4.045995435774832,5.403145232019181,6.127329111014598,7.248528121900871,12.060926328877835
Black,teen_fertility_rate,45.0,25.942862944822515,7.927721517041904,12.544802867383511,20.07448451267145,25.9814764433825,32.20155876225017,43.34469083393845
Black,poverty_rate,51.0,16.388235294117646,4.349374532450547,9.3,13.0,15.8,19.450000000000003,27.1
Black,insurance_rate,51.0,4.96078431372549,2.1662943873234357,1.5,3.25,4.9,6.15,11.5
Hispanic,dropout_rate,51.0,8.394298792671501,2.1590166551520658,3.578506936798062,6.920329861811672,8.41595572976712,9.60494739429761,15.403920504646273
Hispanic,teen_fertility_rate,0.0,,,,,,,
Hispanic,poverty_rate,51.0,16.388235294117646,4.349374532450547,9.3,13.0,15.8,19.450000000000003,27.1
Hispanic,insurance_rate,51.0,4.96078431372549,2.1662943873234357,1.5,3.25,4.9,6.15,11.5
Pacific Islander,dropout_rate,10.0,9.136546138540757,5.028691271554515,3.917629331993973,5.557618114210875,7.822179364453705,11.31491143307126,20.82687338501292
Pacific Islander,teen_fertility_rate,12.0,40.04703315721512,26.898691340669785,8.133741521099706,21.857843810954954,29.997030689708016,56.15328938359514,89.49416342412451
Pacific Islander,poverty_rate,51.0,16.388235294117646,4.349374532450547,9.3,13.0,15.8,19.450000000000003,27.1
Pacific Islander,insurance_rate,51.0,4.96078431372549,2.1662943873234357,1.5,3.25,4.9,6.15,11.5
Total,dropout_rate,51.0,5.2588793576429795,1.1896802571087952,3.245642935283646,4.308704045027742,5.157549891172336,6.0639836985409925,8.50740495137047
Total,teen_fertility_rate,0.0,,,,,,,
Total,poverty_rate,51.0,16.388235294117646,4.349374532450547,9.3,13.0,15.8,19.450000000000003,27.1
Total,insurance_rate,51.0,4.96078431372549,2.1662943873234357,1.5,3.25,4.9,6.15,11.5
Two or more races,dropout_rate,48.0,5.4243833426880235,1.5822232679748391,2.3886056306805585,4.140792465921798,5.431997637903321,6.39505507057825,8.672126352734717
Two or more races,teen_fertility_rate,47.0,19.615202134241812,7.416725333168306,6.9872844013596875,14.047059589551736,19.722238032898854,24.916426459264983,35.67787971457696
Two or more races,poverty_rate,51.0,16.388235294117646,4.349374532450547,9.3,13.0,15.8,19.450000000000003,27.1
Two or more races,insurance_rate,51.0,4.96078431372549,2.1662943873234357,1.5,3.25,4.9,6.15,11.5
White,dropout_rate,51.0,4.210079194072674,1.335461412462919,0.673073703244818,3.4535592086019715,4.216631295398552,5.229024320437857,6.641638629344962
White,teen_fertility_rate,51.0,14.757955387875464,5.677819315036129,6.316420733359859,10.880987545066954,12.610830883171142,18.353083687063794,26.317825601573983
White,poverty_rate,51.0,16.388235294117646,4.349374532450547,9.3,13.0,15.8,19.450000000000003,27.1
White,insurance_rate,51.0,4.96078431372549,2.1662943873234357,1.5,3.25,4.9,6.15,11.5
