state,comparison,dropout_rate_gap_pp,dropout_rate_ratio
Alabama,Black vs White,0.6258940350640056,1.115076395190533
Alaska,Black vs White,,
Arizona,Black vs White,1.4654562909950286,1.287593843440252
Arkansas,Black vs White,-0.188249363708624,0.962986472253205
California,Black vs White,3.295031788812739,2.3874776413662637
Colorado,Black vs White,2.453380096663599,1.6713517943695133
Connecticut,Black vs White,2.146592290973599,1.9961961889271866
Delaware,Black vs White,-0.5590381630692667,0.8869878211283104
District of Columbia,Black vs White,6.333241367586382,10.409432187076225
Florida,Black vs White,1.8146466717482133,1.3575856630544687
Georgia,Black vs White,0.23526198445937485,1.0416063834981424
Hawaii,Black vs White,,
Idaho,Black vs White,,
Illinois,Black vs White,3.583711704883725,1.966008775502118
Indiana,Black vs White,1.2648276505842597,1.1904390951046073
Iowa,Black vs White,2.749267079874643,1.7672628179758836
Kansas,Black vs White,2.1975890578098265,1.556450153872487
Kentucky,Black vs White,0.3606780604904065,1.0675190545258473
Louisiana,Black vs White,2.519682486104438,1.408995772982245
Maine,Black vs White,7.770786351909966,2.8113130092790364
Maryland,Black vs White,1.9204967606087204,1.7471471980958644
Massachusetts,Black vs White,2.116167416200474,1.8970713929978837
Michigan,Black vs White,3.084544296481682,1.6466689736859361
Minnesota,Black vs White,3.546594425261601,2.224346420649419
Mississippi,Black vs White,2.147521974101097,1.3823463792283381
Missouri,Black vs White,0.1759145387025267,1.0329758933113637
Montana,Black vs White,,
Nebraska,Black vs White,3.8139793117719587,2.106393523794738
Nevada,Black vs White,5.362587905515865,1.9687222288578827
New Hampshire,Black vs White,,
New Jersey,Black vs White,2.1696274593886327,2.15629102963441
New Mexico,Black vs White,,
New York,Black vs White,2.557449096907996,1.726169113435585
North Carolina,Black vs White,1.1988360515050482,1.2843113299503544
North Dakota,Black vs White,,
Ohio,Black vs White,2.2376452180662003,1.4499700133677602
Oklahoma,Black vs White,4.837772928492284,1.9047581970564273
Oregon,Black vs White,0.45111568242165667,1.072261206389254
Pennsylvania,Black vs White,0.02294932729488508,1.0046048641860081
Rhode Island,Black vs White,2.525958947212976,1.8303500522778189
South Carolina,Black vs White,1.5112139524984798,1.2949626372281238
South Dakota,Black vs White,2.2425279282837742,1.5350184980689046
Tennessee,Black vs White,1.2457944668877499,1.2999570092223545
Texas,Black vs White,1.6797909080643523,1.4283488215083076
Utah,Black vs White,4.746745296676059,2.3719310615088625
Vermont,Black vs White,,
Virginia,Black vs White,1.7558231313510344,1.6739198272457951
Washington,Black vs White,0.31881326595274206,1.0647884072232239
West Virginia,Black vs White,0.4682769601827923,1.0955101596210102
Wisconsin,Black vs White,7.40246090748483,3.1921480049044177
Wyoming,Black vs White,,
Alabama,Hispanic vs White,8.673861912391288,2.594769570149966
Alaska,Hispanic vs White,0.8857580365600057,1.2142292822971426
Arizona,Hispanic vs White,4.745212795488714,1.9312416850521346
Arkansas,Hispanic vs White,4.040329568690335,1.7944082659869576
California,Hispanic vs White,3.5193097554479684,2.4819169925172866
Colorado,Hispanic vs White,4.992931970111429,2.3662839450999416
Connecticut,Hispanic vs White,6.18102094321073,3.8685044352380866
Delaware,Hispanic vs White,2.5527477446857967,1.5160498938978313
District of Columbia,Hispanic vs White,4.764779404099814,8.079134693762825
Florida,Hispanic vs White,2.4805851517104944,1.4888123401912277
